dealdate	totalPrice	unitPrice	square	count
2017-02-14	556.5242	61522.1532	90.3790	124
2017-02-15	522.6807	59002.0168	86.7815	119
2017-02-16	587.2872	60372.0319	95.6809	94
2017-02-17	587.6737	60892.5579	96.7474	95
2017-02-18	624.5506	61823.9101	98.5056	89
2017-02-19	556.3077	58616.7751	96.2012	169
2017-02-20	547.5286	58776.0667	91.4524	210
2017-02-21	560.8875	60192.3563	92.5188	160
2017-02-22	536.5246	61380.3115	87.2295	183
2017-02-23	577.4380	58873.8613	94.4307	137
2017-02-24	513.0180	57097.3604	92.0360	111
2017-02-25	560.2059	59303.9118	94.8431	102
2017-02-26	571.6683	63253.8543	90.0854	199
2017-02-27	574.3611	61446.0104	94.2049	288
2017-02-28	545.5126	59533.0975	92.9206	277
2017-03	920.8596	72248.9135	123.6788	520
2017-03-01	575.2105	63257.5439	88.7719	57
2017-03-02	625.1100	66218.2900	92.7300	100
2017-03-03	583.2000	61739.6300	96.3300	100
2017-03-04	555.2877	61444.7397	89.6027	73
2017-03-05	589.8113	66003.6604	87.0629	159
2017-03-06	580.7018	63228.5000	92.1927	218
2017-03-07	633.2882	62157.9176	99.3059	170
2017-03-08	589.1988	64401.3494	91.7771	166
2017-03-09	621.0915	64981.7324	95.8239	142
2017-03-10	620.5000	67453.0089	88.9107	112
2017-03-11	616.2857	61761.0879	97.9560	91
2017-03-12	574.4331	64041.9045	87.9490	157
2017-03-13	607.1292	64851.6792	93.3042	240
2017-03-14	614.2131	63739.1093	96.1148	183
2017-03-15	605.5435	64109.0174	93.3652	230
2017-03-16	609.7125	66019.0750	92.9125	160
2017-03-17	578.8305	62067.4492	94.0932	118
2017-03-18	605.5479	68937.1370	90.3562	73
2017-03-19	594.8614	65771.5347	91.1287	101
2017-03-20	667.2093	71449.6395	93.1977	86
2017-03-21	676.0556	68049.5333	93.5111	90
2017-03-22	614.8925	65143.8172	92.6129	93
2017-03-23	752.9375	70691.5000	106.1094	64
2017-03-24	641.6567	67105.8358	95.4925	67
2017-03-25	591.5000	63616.9706	98.3235	34
2017-03-26	683.2429	64169.7571	100.9286	70
2017-03-27	611.6441	63888.5424	89.1017	59
2017-03-28	670.3400	68917.1000	95.5200	50
2017-03-29	582.8364	58345.4545	93.8727	55
2017-03-30	579.8537	55893.5610	92.4390	41
2017-03-31	627.9184	66777.9184	93.3265	49
2017-04	825.3507	65743.3694	112.5149	268
2017-04-01	572.8636	66693.4545	85.2727	22
2017-04-02	577.9500	54151.7500	98.5500	20
2017-04-03	578.3214	66712.8929	85.0357	28
2017-04-04	659.1351	69355.7297	94.7297	37
2017-04-05	788.1818	66320.9091	114.7273	22
2017-04-06	722.0556	68906.9722	106.5278	36
2017-04-07	517.3929	55487.7857	89.4286	28
2017-04-08	636.0000	68873.0000	93.0000	12
2017-04-09	590.9167	60463.4375	96.5208	48
2017-04-10	505.4722	62245.4167	81.0833	36
